ID,EN,ES
ABAT_0001_I_0001_1,Welcome to the adaptive beat perception test!,¡Bienvenido a la prueba adaptativa de percepción de ritmo!
ABAT_0002_I_0001_1,This test assesses your ability to recognise the beat in a piece of music.\\ You will be played some music clips. In each clip you will hear some music together with a **beep-track**.\\  Your task is to decide whether the beep-track is **on** or **off** the beat.,Esta prueba evalúa su capacidad para reconocer el ritmo en apartes musicales.\\ Usted escuchará algunas piezas musicales. En cada una escuchará la música y además unos **pitidos**.\\ Su tarea es decidir si los pitidos están **en sincronía** o **fuera de sincronía** con el ritmo de la música.
ABAT_0003_I_0001_1,Click 'Next' to hear some examples.,Haga clic en 'Siguiente' para escuchar algunos ejemplos.
ABAT_0004_I_0001_1,Example - **On** the beat\\In this example the beeps are **on** the beat of the music.,"Ejemplo - **En sincronía** con el ritmo\\En este ejemplo, los pitidos están **en sincronía** con el ritmo de la música. "
ABAT_0005_I_0001_1,Your Beat Perception IQ was:,Su puntaje de percepción del ritmo fue:
ABAT_0006_I_0001_1,Example - **Off** the beat\\In this example the beeps are **off** the beat of the music.,"Ejemplo - **Fuera de sincronía** con el ritmo\\En este ejemplo, los pitidos están **fuera de sincronía** con el ritmo de la música. "
ABAT_0007_I_0001_1,Beat Perception IQ,Puntaje de percepción de ritmo
ABAT_0008_I_0001_1,"In the test you will be played two versions of the same music clip, one after the other.\\ One version will have beeps **on** the beat, and the other will have beeps **off** the beat.\\ Your task is to decide whether the clip with beeps **on** the beat came first or second.","En esta prueba, usted escuchará dos versiones de la misma pieza musical, una seguida de la otra.\\ Una versión tendrá los pitidos **en** el ritmo, y la otra tendrá pitidos **fuera** del ritmo.\\ Su tarea es decidir si la pieza musical con los pitidos **en** el ritmo se escuchó en primer o segundo lugar."
ABAT_0009_I_0001_1,**Example question {{no_example}}/2**\\Which clip had beeps **on** the beat?,** Pregunta ejemplo {{no_example}}/2**\\ ¿Qué pieza musical tenía los pitidos **en** el ritmo?
ABAT_0010_I_0001_1,First,El primero
ABAT_0011_I_0001_1,Correct!,Correcto!
ABAT_0012_I_0001_1,**{{feedback}}**\\Press 'Continue' to try another example.,{{no_example}}/2**\\Presione 'Continuar' para practicar con otro ejemplo.
ABAT_0013_I_0001_1,Incorrect.,Incorrecto.
ABAT_0014_I_0001_1,"**{{feedback}}**\\Press 'Go back' to read the instructions and try the examples again,\\or press 'Next' to continue to the main test.","**{{feedback}}**\\Presione 'Atrás' para nuevamente leer las instrucciones y practicar con los ejemplos,\\o presione 'Siguiente' para continuar con la prueba principal."
ABAT_0015_I_0001_1,Second,El segundo
ABAT_0016_I_0001_1,"You are about to start the main test, where your results will be recorded.\\You won't receive any feedback for this stage. Good luck!",Usted está a punto de comenzar la prueba principal en donde se registrarán sus resultados.\\No recibirá ninguna retroalimentación en esta parte. ¡Lo hará muy bien!
ABAT_0017_I_0001_1,Question **{{num_question}}** out of **{{test_length}}**,Pregunta **{{num_question}}** de **{{test_length}}**
ABAT_0018_I_0001_1,"Your browser doesn't support audio. This test won't work without audio, sorry!","Su navegador no admite audio. Lamentablemente, esta prueba no va a funcionar sin audio."
ABAT_0019_I_0001_1,"One of these clips has beeps on the beat, the other off the beat.\\ Which clip had beeps **on** the beat? If you don't know, give your best guess!","Uno de los dos ejemplos de las piezas musicales tiene los pitidos en el ritmo, y el otro fuera del ritmo.\\ ¿Qué pieza musical tenía pitidos **en** el ritmo? Si no lo sabe con certeza, ¡anímese a dar su mejor respuesta!"
ABAT_0020_I_0001_1,You completed the beat perception test!,¡Usted ha completado la prueba de percepción del ritmo!
ABAT_0021_I_0001_1,Next,Siguiente
ABAT_0022_I_0001_1,Go back,Regresar
enter_p_id,Please enter your participant ID.,Por favor entre su número de participante.
results_have_been_saved,Your results have been saved.,Sus resultados han sido guardados.
you_may_close_browser,You may now close the browser window.,Puede cerrar la ventana de su navegador.
demo_intro,"Welcome to the **Computerised Adaptive Beat Alignment Test**!\\This test adapts to your performance. If you do well, you will be given harder items.\\Usually this adaptive procedure is hidden from the participant. For this demonstration, however, we will show your running ability score and corresponding difficulty level on each trial.","¡Bienvenido a la **Prueba Adaptativa de Percepción de Ritmo Computarizada**! \\ Esta prueba se adapta a su rendimiento. Si lo hace bien, recibirá elementos más difíciles.\\ Por lo general, este procedimiento de adaptación está oculto para el participante. Sin embargo, para esta demostración, le mostraremos su puntaje y el nivel de dificultad correspondiente a cada elemento."
