ID1,RU
ABAT_0001_I_0001_1,Добро пожаловать! Этот тест определяет Ваше чувство ритма!
ABAT_0002_I_0001_1,"Этот тест определяет вашу способность распознавать музыкальные ритмы.\\Вы услышите  короткие музыкальные отрывки. Во время проигрывания отрывка вы услышите короткие звуковые сигналы.\\Ваша задача - определить, совпадает ли ритм сигнала с ритмом музыки. "
ABAT_0003_I_0001_1,"Нажмите ""продолжить"", чтобы перейти к примерам"
ABAT_0004_I_0001_1,Пример - **совпадающие** ритмы\\В этом пример ритм сигнала совпадает с ритмом музыки.
ABAT_0005_I_0001_1,Ваша способность распознавать ритмы:
ABAT_0006_I_0001_1,Пример - **несовпадающие** ритмы\\В этом пример ритм сигнала не совпадает с ритмом музыки.
ABAT_0007_I_0001_1, способность распознавать ритмы
ABAT_0008_I_0001_1,"В этом тесте вы услышите две версии одного и того же музыкального отрывка одну за другой.\\В одной версии ритм сигнала будет совпадать с ритмом музыки, а в другой - нет.\\Ваша задача - определить, в какой из версий ритм сигнала совпадал с ритмом музыки.\\ "
ABAT_0009_I_0001_1,**Пример задания {{no_example}}/2**\\В какой из версий ритм сигнала совпадал с ритмом музыки?
ABAT_0010_I_0001_1,В первой
ABAT_0011_I_0001_1,Верно! 
ABAT_0012_I_0001_1,"**{{feedback}}**\\Нажмите ""продолжить"", чтобы перейти к следующему примеру."
ABAT_0013_I_0001_1,Неверно.
ABAT_0014_I_0001_1,"**{{feedback}}**\\Нажмите ""назад"", чтобы увидеть инструкцию и прослушать примеры еще раз,\\или нажмите ""продолжить"", чтобы перейти к тесту. "
ABAT_0015_I_0001_1,Во второй
ABAT_0016_I_0001_1,"Сейчас начнется тест, во время которого ваши ответы будут записаны.\\Во время теста вам не будет сообщаться, верно или неверно вы ответили. Удачи!"
ABAT_0017_I_0001_1,Задание {{num_question}} из {{test_length}}
ABAT_0018_I_0001_1,Ваш браузер не поддерживает аудиозаписи. Тест не может быть воспроизведен. 
ABAT_0019_I_0001_1,"В одном из отрывков ритм сигнала совпадает с ритмом музыки, а в другом - не совпадает.\\ В каком из отрывков ритмы совпадали? Если не уверены, попробуйте угадать! "
ABAT_0020_I_0001_1,Вы завершили тест на распознавание ритмов! 
ABAT_0021_I_0001_1,Продолжить
ABAT_0022_I_0001_1,Назад
enter_p_id,Введите логин участника.
results_have_been_saved,Ваш результат записан.
you_may_close_browser,Теперь можно закрыть окно браузера.
demo_intro,"Welcome to the **Computerised Adaptive Beat Alignment Test**!\\This test adapts to your performance. If you do well, you will be given harder items.\\Usually this adaptive procedure is hidden from the participant. For this demonstration, however, we will show your running ability score and corresponding difficulty level on each trial."
